Company Name,Industry,Metro Area,Million/Billion,State,% Growth,Rank,Revenue
One Stop Equine Shop,Retail,Chicago,Million,Illinois,22.96,158,8
Advanced Project Consulting,Government Services,"Warner Robins, GA",Million,Georgia,22.91,159,6
Hospicelink,Health,"Birmingham-Hoover, AL",Million,Alabama,22.75,160,42
Empire Flippers,Business Products & Services,Los Angeles,Million,California,22.53,161,5
Blue Canyon Technologies,Engineering,"Boulder, CO",Million,Colorado,22.24,162,5
Bai Brands,Food & Beverage,"Trenton, NJ",Million,New Jersey,22.1,163,120
Torrent Consulting,Business Products & Services,Charlotte,Million,North Carolina,21.96,164,3
PCB Apps,IT Services,New York City,Million,New Jersey,21.87,165,15
Blueprint Consulting Services,Business Products & Services,Seattle,Million,Washington,21.62,166,22
Cireson,Software,San Diego,Million,California,21.52,167,12
The Exterior Company,Construction,"Lancaster, PA",Million,Pennsylvania,21.19,168,8
Akston Hughes International,Retail,,Million,Michigan,21.12,169,3
Florida Premier Realty of the Palm Beaches,Real Estate,Miami,Million,Florida,21.01,170,3
Knot Standard,Retail,New York City,Million,New York,20.95,171,6
Clason Point Partners,Government Services,New York City,Million,New York,20.93,172,3
Developing Awareness,Advertising & Marketing,"Hilo, HI",Million,Hawaii,20.93,173,5
Hoosier Hill Farm,Food & Beverage,"Fort Wayne, IN",Million,Indiana,20.88,174,3
Apto,Software,Denver,Million,Colorado,20.79,175,2
Channel Partners Capital,Financial Services,Minneapolis,Million,Minnesota,20.74,176,2
Alliance Family of Companies,Health,Dallas,Million,Texas,20.73,177,28
ABUV Media,Advertising & Marketing,"Reno, NV",Million,Nevada,20.71,178,6
LILEE Systems,Telecommunications,San Jose,Million,California,20.71,179,15
A.M. Staffing Group,Human Resources,Chicago,Million,Illinois,20.55,180,3
Seeking Health,Health,"Bellingham, WA",Million,Washington,20.39,181,12
ONE3LED,Energy,"St. Louis, MO-IL",Million,Missouri,20.31,182,4
Kabbage,Financial Services,Atlanta,Million,Georgia,20.27,183,97
TRAFFIC,Advertising & Marketing,Detroit,Million,Michigan,20.22,184,3
